,,January,February,March,April,May,June,July,August,September,October,November,December
,aluminum,1757,1784,2542,2956,2838,3307,4329,3741,7120,3411,3529,3885
,antaflu,2191,1924,2340,2630,1608,2304,3370,2804,3453,2057,1959,2518
,bag,1938,2217,3030,4205,3978,4733,5693,4418,7483,5504,5015,4092
,beer,2718,2082,3330,3006,3214,3475,4689,4320,6406,5055,5018,4557
,bottle,3797,3467,5181,5064,5289,5735,7186,6511,11387,7425,6997,6355
,can,8626,8185,12886,13390,13447,13668,17499,16546,27851,17919,17620,16085
,candy,3300,3093,4382,5851,4977,6056,7817,6228,9760,6253,5908,5604
,cigarette,3092,2176,5143,4703,5157,6888,7011,7553,19795,10360,6664,4943
,cup,1430,1808,2443,2620,2583,3089,3674,3045,5596,3608,3506,3202
,drink,1427,1403,1923,2087,2591,2204,3157,2747,5317,3442,3457,3454
,energydrink,2482,2251,3687,3795,3529,3588,5003,4181,6210,4842,4819,4161
,firework,4740,3066,5047,4237,2201,1785,3044,3222,5254,2763,1996,5961
,knetterbal,3189,1924,3675,3139,1799,1432,2801,2795,4674,1775,1618,5665
,mcdonalds,917,1408,1464,2261,1952,3852,4504,3708,4282,4378,4177,3673
,metal,5534,5258,8449,9309,9620,9678,12279,11553,17800,12738,12867,10052
,paper,5158,6267,8457,10748,11600,13231,15386,13010,24933,15033,12086,11440
,piece,2174,2899,4251,6290,5316,6253,6422,4840,9548,6553,5063,3570
,plastic,32608,34073,47051,54830,51019,56242,73051,64901,113930,65960,59433,58003
,redbull,1925,1938,2999,3107,3086,3158,3936,3573,6036,3761,4019,3733
,wrapper,6732,7174,10218,13156,11290,14266,17473,14488,25637,14898,13537,12074
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
March,aluminum,,,,,,,,,,,,
,antaflu,,,,,,,,,,,,
,bag,,,,,,,,,,,,
,beer,,,,,,,,,,,,
,bottle,,,,,,,,,,,,
,can,,,,,,,,,,,,
,candy,,,,,,,,,,,,
,cigarette,,,,,,,,,,,,
,cup,,,,,,,,,,,,
,drink,,,,,,,,,,,,
,energydrink,,,,,,,,,,,,
,firework,,,,,,,,,,,,
,knetterbal,,,,,,,,,,,,
,mcdonalds,,,,,,,,,,,,
,metal,,,,,,,,,,,,
,paper,,,,,,,,,,,,
,piece,,,,,,,,,,,,
,plastic,,,,,,,,,,,,
,redbull,,,,,,,,,,,,
,wrapper,,,,,,,,,,,,
April,aluminum,,,,,,,,,,,,
,antaflu,,,,,,,,,,,,
,bag,,,,,,,,,,,,
,beer,,,,,,,,,,,,
,bottle,,,,,,,,,,,,
,can,,,,,,,,,,,,
,candy,,,,,,,,,,,,
,cigarette,,,,,,,,,,,,
,cup,,,,,,,,,,,,
,drink,,,,,,,,,,,,
,energydrink,,,,,,,,,,,,
,firework,,,,,,,,,,,,
,knetterbal,,,,,,,,,,,,
,mcdonalds,,,,,,,,,,,,
,metal,,,,,,,,,,,,
,paper,,,,,,,,,,,,
,piece,,,,,,,,,,,,
,plastic,,,,,,,,,,,,
,redbull,,,,,,,,,,,,
,wrapper,,,,,,,,,,,,
May,aluminum,,,,,,,,,,,,
,antaflu,,,,,,,,,,,,
,bag,,,,,,,,,,,,
,beer,,,,,,,,,,,,
,bottle,,,,,,,,,,,,
,can,,,,,,,,,,,,
,candy,,,,,,,,,,,,
,cigarette,,,,,,,,,,,,
,cup,,,,,,,,,,,,
,drink,,,,,,,,,,,,
,energydrink,,,,,,,,,,,,
,firework,,,,,,,,,,,,
,knetterbal,,,,,,,,,,,,
,mcdonalds,,,,,,,,,,,,
,metal,,,,,,,,,,,,
,paper,,,,,,,,,,,,
,piece,,,,,,,,,,,,
,plastic,,,,,,,,,,,,
,redbull,,,,,,,,,,,,
,wrapper,,,,,,,,,,,,
June,aluminum,,,,,,,,,,,,
,antaflu,,,,,,,,,,,,
,bag,,,,,,,,,,,,
,beer,,,,,,,,,,,,
,bottle,,,,,,,,,,,,
,can,,,,,,,,,,,,
,candy,,,,,,,,,,,,
,cigarette,,,,,,,,,,,,
,cup,,,,,,,,,,,,
,drink,,,,,,,,,,,,
,energydrink,,,,,,,,,,,,
,firework,,,,,,,,,,,,
,knetterbal,,,,,,,,,,,,
,mcdonalds,,,,,,,,,,,,
,metal,,,,,,,,,,,,
,paper,,,,,,,,,,,,
,piece,,,,,,,,,,,,
,plastic,,,,,,,,,,,,
,redbull,,,,,,,,,,,,
,wrapper,,,,,,,,,,,,
July,aluminum,,,,,,,,,,,,
,antaflu,,,,,,,,,,,,
,bag,,,,,,,,,,,,
,beer,,,,,,,,,,,,
,bottle,,,,,,,,,,,,
,can,,,,,,,,,,,,
,candy,,,,,,,,,,,,
,cigarette,,,,,,,,,,,,
,cup,,,,,,,,,,,,
,drink,,,,,,,,,,,,
,energydrink,,,,,,,,,,,,
,firework,,,,,,,,,,,,
,knetterbal,,,,,,,,,,,,
,mcdonalds,,,,,,,,,,,,
,metal,,,,,,,,,,,,
,paper,,,,,,,,,,,,
,piece,,,,,,,,,,,,
,plastic,,,,,,,,,,,,
,redbull,,,,,,,,,,,,
,wrapper,,,,,,,,,,,,
August,aluminum,,,,,,,,,,,,
,antaflu,,,,,,,,,,,,
,bag,,,,,,,,,,,,
,beer,,,,,,,,,,,,
,bottle,,,,,,,,,,,,
,can,,,,,,,,,,,,
,candy,,,,,,,,,,,,
,cigarette,,,,,,,,,,,,
,cup,,,,,,,,,,,,
,drink,,,,,,,,,,,,
,energydrink,,,,,,,,,,,,
,firework,,,,,,,,,,,,
,knetterbal,,,,,,,,,,,,
,mcdonalds,,,,,,,,,,,,
,metal,,,,,,,,,,,,
,paper,,,,,,,,,,,,
,piece,,,,,,,,,,,,
,plastic,,,,,,,,,,,,
,redbull,,,,,,,,,,,,
,wrapper,,,,,,,,,,,,
September,aluminum,,,,,,,,,,,,
,antaflu,,,,,,,,,,,,
,bag,,,,,,,,,,,,
,beer,,,,,,,,,,,,
,bottle,,,,,,,,,,,,
,can,,,,,,,,,,,,
,candy,,,,,,,,,,,,
,cigarette,,,,,,,,,,,,
,cup,,,,,,,,,,,,
,drink,,,,,,,,,,,,
,energydrink,,,,,,,,,,,,
,firework,,,,,,,,,,,,
,knetterbal,,,,,,,,,,,,
,mcdonalds,,,,,,,,,,,,
,metal,,,,,,,,,,,,
,paper,,,,,,,,,,,,
,piece,,,,,,,,,,,,
,plastic,,,,,,,,,,,,
,redbull,,,,,,,,,,,,
,wrapper,,,,,,,,,,,,
October,aluminum,,,,,,,,,,,,
,antaflu,,,,,,,,,,,,
,bag,,,,,,,,,,,,
,beer,,,,,,,,,,,,
,bottle,,,,,,,,,,,,
,can,,,,,,,,,,,,
,candy,,,,,,,,,,,,
,cigarette,,,,,,,,,,,,
,cup,,,,,,,,,,,,
,drink,,,,,,,,,,,,
,energydrink,,,,,,,,,,,,
,firework,,,,,,,,,,,,
,knetterbal,,,,,,,,,,,,
,mcdonalds,,,,,,,,,,,,
,metal,,,,,,,,,,,,
,paper,,,,,,,,,,,,
,piece,,,,,,,,,,,,
,plastic,,,,,,,,,,,,
,redbull,,,,,,,,,,,,
,wrapper,,,,,,,,,,,,
November,aluminum,,,,,,,,,,,,
,antaflu,,,,,,,,,,,,
,bag,,,,,,,,,,,,
,beer,,,,,,,,,,,,
,bottle,,,,,,,,,,,,
,can,,,,,,,,,,,,
,candy,,,,,,,,,,,,
,cigarette,,,,,,,,,,,,
,cup,,,,,,,,,,,,
,drink,,,,,,,,,,,,
,energydrink,,,,,,,,,,,,
,firework,,,,,,,,,,,,
,knetterbal,,,,,,,,,,,,
,mcdonalds,,,,,,,,,,,,
,metal,,,,,,,,,,,,
,paper,,,,,,,,,,,,
,piece,,,,,,,,,,,,
,plastic,,,,,,,,,,,,
,redbull,,,,,,,,,,,,
,wrapper,,,,,,,,,,,,
December,aluminum,,,,,,,,,,,,
,antaflu,,,,,,,,,,,,
,bag,,,,,,,,,,,,
,beer,,,,,,,,,,,,
,bottle,,,,,,,,,,,,
,can,,,,,,,,,,,,
,candy,,,,,,,,,,,,
,cigarette,,,,,,,,,,,,
,cup,,,,,,,,,,,,
,drink,,,,,,,,,,,,
,energydrink,,,,,,,,,,,,
,firework,,,,,,,,,,,,
,knetterbal,,,,,,,,,,,,
,mcdonalds,,,,,,,,,,,,
,metal,,,,,,,,,,,,
,paper,,,,,,,,,,,,
,piece,,,,,,,,,,,,
,plastic,,,,,,,,,,,,
,redbull,,,,,,,,,,,,
,wrapper,,,,,,,,,,,,
